"Reference","Value","Footprint","Qty","LCSC Part","Digikey"
"U10","MPM3822","Mylibrary:QFN_2p5x3p5x1p6_MNP","1","","1589-2037-1-ND"
"U11","W25Q128JVS","Package_SON:WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm","1","C401662",""
"U12","SRV05-4","Package_TO_SOT_SMD:SOT-23-6","1","",""
"U13","TPS7A20","Mylibrary:TLV707","1","gia",""
"U14","BMI323","Mylibrary:BMI323_BOS","1","C5368700",""
"U15","TP4056","Package_SO:TI_SO-PowerPAD-8","1","",""
"U16","DW01x","Package_TO_SOT_SMD:SOT-23-6","1","",""
"U17","~","fp:CHIP_B02MM_STM","1","",""
"X1","ASCO","Mylibrary:Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm","1","","KC2016Z13.0000C1KX00"
"X2","ASE-xxxMHz","Mylibrary:Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm","1","","KC2016Z25.0000C1KX00"
"X3","CMOS_OSC","Mylibrary:Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm","1","","KC2016Z33.0000C1KX00"
